Feature Combination,Model,R-squared Validation,MSE Validation,MAE Validation,Validation R-squared CI Lower,Validation R-squared CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R-squared,Train MSE,Train MAE,Train R-squared CI Lower,Train R-squared CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper,Number of Estimators,Run Number
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",Fixed Stacking Ensemble,0.33209966949800646,470.19798323711274,15.977302436786108,0.1768306845096096,0.4873686544864033,370.30863946217414,570.0873270120513,14.223768959034054,17.73083591453816,0.37792807463659933,455.5178913629337,16.165911372834973,0.3303083111710323,0.42554783810216634,423.28344670538,487.7523360204874,15.369428120630436,16.962394625039508,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",Fixed Stacking Ensemble,0.33468373929931505,469.3587464508817,16.724634666785317,0.20439704366582065,0.46497043493280943,381.04510358647474,557.6723893152887,15.195293945497998,18.253975388072636,0.35389875531340836,473.30010418549773,16.929499943961773,0.31042842788913055,0.3973690827376862,442.81781392374006,503.7823944472554,16.190398081401913,17.668601806521632,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)']",Fixed Stacking Ensemble,0.1597710129743693,589.5948552207617,18.97269688531586,0.011424551443628417,0.3081174745051102,500.21060886060786,678.9791015809155,17.727069411277977,20.21832435935374,0.26494743837492296,538.6447690774246,18.51616375581345,0.22425285233495984,0.3056420244148861,508.8177573915054,568.4717807633439,17.7202529578872,19.312074553739702,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyonate type']",Fixed Stacking Ensemble,0.28957626804507713,499.9742772901524,16.846141379024882,0.13729152458646035,0.44186101150369395,399.2769359651466,600.6716186151582,15.219127419849737,18.473155338200026,0.353036040891217,474.26633718618376,16.701809258691462,0.30587311373354226,0.4001989680488917,438.3402546417117,510.19241973065584,15.858028375717135,17.545590141665787,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'tin(II) octoate']",Fixed Stacking Ensemble,0.2596637682035069,519.0510063863428,17.502591754792455,0.1046652783503384,0.4146622580566754,423.77284866911964,614.329164103566,15.608489446047493,19.396694063537417,0.29671549030616584,515.3383783880163,17.623522819860906,0.25309469920700944,0.34033628140532224,483.8061452935391,546.8706114824935,16.807476614530543,18.43956902519127,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Sratio(%)']",Fixed Stacking Ensemble,0.3570691627521098,455.44072803317414,15.784501524464812,0.2372186924184152,0.47691963308580443,366.36106732193986,544.5203887444084,14.339796144443401,17.229206904486222,0.39435142314316113,443.71539162069047,16.004537432628645,0.345860094656409,0.44284275162991327,409.05942827731445,478.3713549640665,15.259264782469488,16.7498100827878,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)']",Fixed Stacking Ensemble,0.34430567619466956,462.5025901131873,15.87389173350346,0.19032719611051058,0.49828415627882855,360.42517741368675,564.5800028126878,14.164250979533081,17.583532487473835,0.370636787865977,461.06243114464814,16.306577340885877,0.3265423001896027,0.4147312755423513,429.9466545821661,492.1782077071302,15.580676488716335,17.032478193055418,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (mmol NCO)']",Fixed Stacking Ensemble,0.2907322015525449,503.4681682363068,16.55550094941625,0.1444876962502116,0.4369767068548782,396.0697649134389,610.8665715591746,14.74824196473401,18.362759934098488,0.3493038020115632,476.6713781395254,16.550553838353302,0.29381534776143214,0.40479225626169424,437.14648462731,516.1962716517409,15.588869215837057,17.512238460869547,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyonate type']",Fixed Stacking Ensemble,0.3281943203539709,473.75310396469087,15.772276316353473,0.1683341345717485,0.4880545061361933,367.8515836320631,579.6546242973186,14.02511582229503,17.519436810411918,0.3791866293501584,454.61067262303095,16.036439009845765,0.325945213500926,0.4324280451993908,417.68812774993864,491.53321749612326,15.148551854340877,16.924326165350653,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'tin(II) octoate']",Fixed Stacking Ensemble,0.34518695957008266,463.8311690375099,16.073853661594157,0.2086213247965074,0.4817525943436579,365.7843439813218,561.8779940936979,14.259444057778591,17.888263265409723,0.35909502063247956,469.6001696625846,16.367527779815326,0.30655537092601154,0.4116346703389476,431.58592876993293,507.6144105552363,15.463455886728804,17.271599672901846,1000,1
