n_estimators,R2 Validation,R2 Validation CI Lower,R2 Validation CI Upper,Train R2,Train R2 CI Lower,Train R2 CI Upper,MSE Validation,MSE Validation CI Lower,MSE Validation CI Upper,Train MSE,Train MSE CI Lower,Train MSE CI Upper,MAE Validation,MAE Validation CI Lower,MAE Validation CI Upper,Train MAE,Train MAE CI Lower,Train MAE CI Upper
1,0.2903328140690776,0.1394418031193329,0.44122382501882235,0.3242028195714703,0.27510296319547534,0.37330267594746525,498.7285002603562,402.9793148377074,594.477685683005,495.2823934164967,458.93780457380547,531.6269822591879,17.04024068418203,15.458207599315676,18.622273769048384,17.23563285964612,16.376814304335763,18.094451414956477
10,0.3267809397538312,0.16755493115960474,0.4860069483480577,0.3672060740063365,0.31866914685906333,0.4157430011536096,474.7050435640991,371.00835013633053,578.4017369918677,463.39917452326017,430.11011051154173,496.6882385349786,16.316472105031842,14.520010695276785,18.1129335147869,16.323124308466497,15.510327412289385,17.13592120464361
50,0.31888653616976886,0.13956982116361472,0.498203251175923,0.3808896083457551,0.3274243344146601,0.43435488227685004,479.5092921181452,362.2671638575725,596.751420378718,453.48023238382655,415.50288481754205,491.45757995011104,16.059908688483567,14.132077434520442,17.987739942446694,16.134648117696518,15.184361093096157,17.084935142296878
100,0.3245274604614427,0.14720484374948714,0.5018500771733982,0.38143098901412886,0.3289415066081324,0.43392047142012535,475.12254210283356,360.15620472029366,590.0888794853735,452.97774043873324,416.5658898696302,489.38959100783626,16.235698777637666,14.309105738824403,18.162291816450928,16.163004874371687,15.276397581614354,17.04961216712902
200,0.33609344159603527,0.17288432623455818,0.49930255695751236,0.3699058331510003,0.31665168331448884,0.42315998298751173,468.61713778290806,359.691888212784,577.542387353032,461.56308910097016,423.6308254295267,499.49535277241364,16.018770321607672,14.250975796505156,17.78656484671019,16.26515456881583,15.324606056647461,17.2057030809842
300,0.3391795833868407,0.17617814748031846,0.5021810192933629,0.3671140884593552,0.31367341477424254,0.4205547621444679,465.75038060889074,358.0001625376164,573.5005986801651,463.66015595524703,425.2426779658255,502.07763394466855,15.951364302993193,14.208627854907785,17.6941007510786,16.27979125323559,15.334109046961395,17.225473459509786
400,0.3334591270089213,0.16046667575807366,0.5064515782597689,0.3722218547039278,0.31669698989711875,0.4277467195107369,469.60451398191725,355.6270172905262,583.5820106733083,459.80865815835796,420.4589173224325,499.1583989942834,15.895316977618682,14.061771623090335,17.72886233214703,16.18786658300747,15.236830063392588,17.13890310262235
500,0.33180358318253206,0.1543334305299175,0.5092737358351467,0.37448767100365055,0.3165363627159762,0.4324389792913249,470.76838049651116,353.88481416009637,587.6519468329259,458.0554948518714,417.39581272687394,498.71517697686886,15.87907429342992,13.970360170717557,17.78778841614228,16.155200069276333,15.207697459174186,17.102702679378478
600,0.32659350904013607,0.15126436706031943,0.5019226510199527,0.3772901882920688,0.3187420509165079,0.43583832566762964,474.85164657316966,358.7661481823096,590.9371449640297,455.97169202136155,415.01240244953124,496.93098159319186,15.896393663829361,13.943326134815987,17.849461192842735,16.0970659607306,15.153005522724282,17.041126398736917
700,0.3365875050024272,0.1744920614504691,0.4986829485543852,0.3756644184594129,0.3189202241657516,0.4324086127530742,468.17245458855297,360.2040384378848,576.1408707392211,457.18230306974,417.521271647512,496.843334491968,15.714126248610711,13.969882121089574,17.45837037613185,16.10468954888898,15.177660639420731,17.03171845835723
800,0.3281218999213558,0.17150620402280162,0.48473759581991005,0.3786882940830052,0.3251332678571477,0.4322433203088627,473.7294410458047,370.2584823122099,577.2003997793995,454.9460055139987,417.97908044779626,491.9129305802012,15.799060914737955,14.101611912064392,17.49650991741152,16.056874229474708,15.174474665446331,16.939273793503087
900,0.32833584649918607,0.17014032962655545,0.4865313633718167,0.37848832385169767,0.32497663392358334,0.432000013779812,473.6180386653558,368.8988534510787,578.3372238796329,455.0998124767977,418.1313256282356,492.0682993253598,15.782970987834224,14.049251847471412,17.516690128197034,16.055222682558348,15.168352432226657,16.942092932890038
1000,0.3281943203539709,0.1683341345717485,0.4880545061361933,0.3791866293501584,0.325945213500926,0.4324280451993908,473.75310396469087,367.8515836320631,579.6546242973186,454.61067262303095,417.68812774993864,491.53321749612326,15.772276316353473,14.02511582229503,17.519436810411918,16.036439009845765,15.148551854340877,16.924326165350653
