Feature Combination,Number of Features,n_estimators,R2 Validation,MSE Validation,MAE Validation,Validation R2 CI Lower,Validation R2 CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R2,Train MSE,Train MAE,Train R2 CI Lower,Train R2 CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,1,0.28559808199842596,500.48565323870497,17.143001495700425,0.12457182986551363,0.4466243341313383,404.62583371373245,596.3454727636774,15.668629684886358,18.61737330651449,0.33115368025484043,489.97026890398547,17.198279579739193,0.28190616839938043,0.38040119211030043,455.1229353054916,524.8176025024794,16.40206861507623,17.994490544402154
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,10,0.31393151538874564,483.3633108476345,16.43342162262439,0.15875754580979284,0.46910548496769844,383.81974707513854,582.9068746201305,14.663389584155592,18.20345366109319,0.3796245736254528,454.3155972907715,16.23891929204958,0.3380867870272923,0.42116236022361336,426.54189915758167,482.08929542396135,15.523239320773962,16.954599263325196
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,50,0.3251121439366832,474.9317902372104,16.052312497310574,0.16157044042482857,0.4886538474485378,369.72327979439603,580.1403006800248,14.269496027096677,17.835128967524472,0.3803707370905615,453.85025612571326,16.190044039090576,0.3351729075414487,0.42556856663967435,422.41389248200596,485.28661976942055,15.427064784919924,16.95302329326123
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,100,0.32853695403819677,471.14374730981956,16.21089297201009,0.1635032160074949,0.49357069206889864,367.9849188798896,574.3025757397495,14.399921758200014,18.021864185820164,0.3798953760799889,454.07737858428163,16.175527466041736,0.335397298603138,0.42439345355683983,424.30530396954043,483.84945319902283,15.434803191394572,16.9162517406889
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,200,0.33591256489167776,466.71939977379117,16.142692930923168,0.1805572226500832,0.4912679071332723,367.35565093408536,566.083148613497,14.516707968900297,17.76867789294604,0.37466652913049514,458.1299777907652,16.284951046053703,0.3352877067199885,0.4140453515410018,430.5092228028505,485.75073277867995,15.597670152401959,16.972231939705445
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,300,0.33205747818841036,469.4070958079272,16.061087786736977,0.1741773656197274,0.4899375907570933,368.79605185242997,570.0181397634244,14.439049090796534,17.68312648267742,0.37360843581313574,458.84068100608437,16.261126572507084,0.3297386079185989,0.4174782637076726,428.30511501546135,489.3762469967074,15.503658270605449,17.01859487440872
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,400,0.3248618565332563,474.5653053680704,16.043581543219293,0.16354386131021598,0.4861798517562966,371.7433666559871,577.3872440801538,14.399962377901307,17.68720070853728,0.3763362564125407,456.77043641710645,16.218038299996955,0.33070758337878303,0.4219649294462984,425.424168333996,488.1167045002169,15.458541163903485,16.977535436090427
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,500,0.32196205810555256,476.5597887758856,16.048104958588798,0.15973127776446439,0.48419283844664074,373.42474364957195,579.6948339021992,14.369420700188158,17.726789216989438,0.37748226902564563,455.86810002610474,16.21064451510514,0.32998116005162276,0.4249833779996685,423.52839521515995,488.20780483704954,15.456086033150466,16.965202997059816
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,600,0.3200027647610972,478.4893183058942,16.063770393547212,0.16023201338151163,0.47977351614068275,376.16661715536964,580.8120194564187,14.340324858141548,17.78721592895288,0.37891109271315193,454.78915510046284,16.191234347003025,0.3303180333264256,0.42750415209987824,421.8120720343334,487.76623816659225,15.41987311074762,16.96259558325843
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,700,0.32290468673506045,476.503001427689,16.03084452485778,0.16265077487909346,0.48315859859102744,373.7066348067048,579.2993680486732,14.268127384094655,17.793561665620906,0.3798614014090891,454.06401164613635,16.180514751718004,0.3308094712522367,0.42891333156594147,420.9224491420459,487.2055741502268,15.415078522243913,16.945950981192095
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,800,0.32357447272696244,475.96522754127056,16.021544630439884,0.16128883058883187,0.485860114865093,371.8746685994675,580.0557864830737,14.232998744946642,17.810090515933126,0.3798002402988465,454.1042991223265,16.18110867979673,0.3305816424182446,0.4290188381794484,420.8623841928239,487.34621405182907,15.413972138032827,16.948245221560633
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,900,0.3311931909252717,470.81072829516415,15.979114639244907,0.17665348306155867,0.48573289878898473,371.5786184750856,570.0428381152427,14.233784730774047,17.724444547715766,0.37822753536791137,455.286145708807,16.16303899126209,0.33041262371196234,0.4260424470238604,422.98315316607693,487.58913825153707,15.365151160298472,16.96092682222571
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)']",4,1000,0.33209966949800646,470.19798323711274,15.977302436786108,0.1768306845096096,0.4873686544864033,370.30863946217414,570.0873270120513,14.223768959034054,17.73083591453816,0.37792807463659933,455.5178913629337,16.165911372834973,0.3303083111710323,0.42554783810216634,423.28344670538,487.7523360204874,15.369428120630436,16.962394625039508
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,1,0.28844616644645293,501.80876870499185,17.43052458066552,0.15856574405559853,0.41832658883730733,413.79706364970207,589.8204737602816,15.907643405472907,18.95340575585813,0.3372501649771166,485.66370248861205,17.26450312850601,0.2959920506753523,0.37850827927888087,455.5169034458161,515.810501531408,16.53938938167312,17.9896168753389
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,10,0.3176195257243616,480.36578078513196,16.87803105896987,0.17770501938168784,0.45753403206703536,388.8523319923993,571.8792295778646,15.23691280830417,18.51914930963557,0.35034974579374845,475.97956037509687,16.942388277056285,0.30796495369875054,0.39273453788874635,445.6656652352317,506.29345551496203,16.204383284703372,17.680393269409198
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,50,0.322294630684654,476.94257347912554,16.77554736367946,0.19310502904913526,0.45148423232017276,394.15068638060023,559.7344605776508,15.243739739394744,18.307354987964178,0.36149592247642026,467.8416131334219,16.832938109555435,0.3208076758566056,0.40218416909623494,438.5296657043523,497.1535605624915,16.136125921730674,17.529750297380197
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,100,0.3314154408766693,470.0163654243327,16.641211878582986,0.18900364822454213,0.47382723352879647,378.7145617054813,561.3181691431842,14.989964729457027,18.292459027708944,0.3600454917506702,468.9265010991753,16.854323580621216,0.31875592589929536,0.401335057602045,438.966939851449,498.8860623469016,16.126488474590918,17.582158686651514
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,200,0.32984293516713264,470.9301902400789,16.686241147443365,0.1946394995168888,0.4650463708173765,384.9399677364448,556.920412743713,15.111714872692074,18.260767422194657,0.35532844589364687,472.29527603903136,16.88597327223207,0.3104849639061945,0.40017192788109923,440.34668789973296,504.2438641783298,16.13928025139975,17.632666293064393
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,300,0.32871735548087605,472.27721599561136,16.68533919759982,0.19620481908360163,0.46122989187815044,386.67613518857297,557.8782968026497,15.122976664345089,18.24770173085455,0.3523926631419073,474.485896499412,16.933513081522477,0.3107812719718024,0.39400405431201224,444.6877840181667,504.28400898065723,16.229000361926715,17.63802580111824
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,400,0.32545719398715667,474.87885860478275,16.70438292911686,0.1955006999384047,0.45541368803590865,390.09489411889,559.6628230906755,15.164033167962831,18.24473269027089,0.3517725467530294,474.945645842018,16.943174125649275,0.3110745162409958,0.39247057726506296,445.7805474058789,504.1107442781571,16.25968962219748,17.62665862910107
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)']",4,500,0.3270289977814832,473.8802897066582,16.75618628805526,0.19674853406931242,0.457309461493654,388.3772348755377,559.3833445377787,15.231567960218104,18.280804615892418,0.35301927750362905,474.00968448499134,16.938062839264546,0.31341184406650485,0.39262671094075324,445.90125276889245,502.11811620109023,16.258683875162916,17.617441803366177
