Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
11,1000,0.6,8,14.5,55.26040241172227
32,650,1.0500000000000003,10,4.0,62.29070094212927
8,250,1.2500000000000004,0,19.0,60.78004951197345
34,1000,1.1500000000000004,56,18.0,28.8762475776796
41,650,1.0500000000000003,10,1.0,61.95377922360139
57,250,0.9000000000000002,46,0.5,58.712713451157114
35,250,1.0500000000000003,38,6.5,35.85998595618762
7,1000,1.1000000000000005,34,2.5,10.818304259028423
61,250,0.8500000000000002,14,3.5,42.34911093890608
29,250,0.9500000000000003,4,15.0,45.09983247089427
54,250,0.8000000000000002,24,0.0,49.375889432296056
55,250,1.3000000000000007,34,6.0,51.4430017804072
55,650,0.9000000000000002,6,20.0,63.535740867738866
47,650,0.65,14,17.5,53.64885213994806
64,650,0.7000000000000001,24,11.0,42.91632154691382
8,1000,1.1500000000000004,18,11.0,14.12543903185378
4,250,1.2000000000000006,40,6.5,14.463336547972993
20,1000,0.7000000000000001,50,19.0,22.93597163069707
24,650,0.8500000000000002,34,17.5,30.057174188829464
32,1000,0.8000000000000002,22,18.0,36.98762760749146
59,250,1.2500000000000004,28,1.0,52.29833976611432
60,1000,0.7500000000000001,2,5.5,70.29643464372643
1,1000,1.1000000000000005,38,14.5,12.664755614205681
40,650,1.2000000000000006,54,9.5,33.952347775727695
14,250,1.0000000000000004,14,1.0,40.192319373557936
25,650,1.1500000000000004,20,15.5,37.912479606733214
45,1000,1.1500000000000004,12,7.0,75.30320193934853
35,1000,1.3500000000000005,20,5.0,37.91950856692968
35,650,1.3500000000000005,38,10.5,48.788140320345384
14,1000,1.2500000000000004,6,16.0,66.65202021190166
36,650,0.6,22,14.5,46.57526786442224
43,650,0.6,46,18.0,30.145972896683336
59,650,0.7000000000000001,12,12.5,43.89245970517214
47,250,0.8000000000000002,42,2.0,59.03325436126903
45,1000,0.9000000000000002,30,8.0,58.264238404579
42,250,1.1500000000000004,12,15.5,41.7273608631549
22,250,0.65,10,2.5,42.417576800115675
20,250,0.9500000000000003,48,11.0,29.154920404467095
46,1000,0.7000000000000001,66,15.5,52.38432692360764
49,650,1.2000000000000006,52,0.0,56.22642034202684
8,1000,1.4000000000000008,10,5.0,66.45014982543569
46,650,0.7000000000000001,14,20.0,53.514339145532205
36,1000,1.0500000000000003,30,0.5,30.084085287670042
58,1000,0.8500000000000002,48,10.5,58.64156045106761
46,250,1.0500000000000003,18,16.0,45.70586248143754
20,1000,1.3500000000000005,34,14.5,33.50033402961107
64,650,1.3000000000000007,42,18.0,46.74247075772038
5,650,1.2500000000000004,60,11.0,12.672751706200728
34,650,1.1000000000000005,42,15.0,36.76987452127587
32,250,0.6,54,10.0,49.12450757174898
41,1000,1.3500000000000005,38,0.5,35.334084547075605
13,1000,0.9000000000000002,16,5.5,18.5063790792016
9,1000,1.3500000000000005,4,4.5,65.2989806159911
12,650,1.0000000000000004,12,6.5,60.42877437169403
41,1000,1.1000000000000005,42,0.0,31.335397071392247
48,1000,0.8000000000000002,26,2.0,53.54364349232551
38,1000,0.6,50,15.0,51.70349412662001
3,1000,1.1500000000000004,44,19.5,4.09962203779866
13,250,1.0000000000000004,6,9.5,41.853484791119456
24,250,0.8000000000000002,66,4.0,43.4735632011251
63,1000,1.2000000000000006,4,2.5,70.58369464250443
4,1000,0.7000000000000001,18,8.0,19.768208707941447
60,650,0.8500000000000002,6,3.0,64.10164716611845
11,650,1.1500000000000004,36,19.0,3.5234089972892235
66,250,0.65,28,5.5,44.06366563453152
65,250,0.8500000000000002,30,3.0,54.87483673940089
22,650,0.9000000000000002,46,3.0,34.14776054899403
25,1000,1.4000000000000008,44,1.5,48.013112642083634
8,650,0.8500000000000002,48,16.0,25.64548093444123
50,1000,0.8500000000000002,40,3.0,58.3126378264645
39,650,1.1000000000000005,42,1.5,36.19056900538232
1,650,0.9500000000000003,2,19.0,61.438354524999426
64,250,0.7500000000000001,10,12.0,42.60277092894939
18,250,0.8000000000000002,62,18.5,34.02065386163193
60,650,0.7500000000000001,36,0.0,55.223662291272994
25,1000,1.3000000000000007,20,10.5,35.365465230734166
60,250,1.2000000000000006,44,10.0,53.8507751856666
33,650,1.3000000000000007,42,3.5,31.90236016731271
48,1000,1.1500000000000004,4,12.0,71.11045772798502
28,650,1.1000000000000005,50,0.5,39.760397325584165
11,650,0.7500000000000001,0,15.5,59.72545323415714
37,250,0.7000000000000001,16,12.0,40.53244494825623
50,1000,0.8500000000000002,4,12.0,70.53661312912061
55,250,0.8500000000000002,18,13.5,45.061471462021636
52,250,0.6,12,19.0,39.954006423825874
32,650,0.8500000000000002,16,15.5,40.50905958800948
31,650,0.7000000000000001,52,2.0,51.95698614007715
2,1000,1.1000000000000005,38,12.0,12.604341387319593
40,1000,1.2000000000000006,30,6.0,26.174509073339227
6,1000,0.8000000000000002,52,3.5,25.480186256343803
29,650,0.7000000000000001,30,20.0,24.671925064000835
9,1000,0.65,24,7.5,23.63288263277606
56,650,0.8500000000000002,22,6.5,52.196575883573914
68,250,1.0500000000000003,14,16.5,43.72853133384815
10,1000,1.0000000000000004,16,5.0,14.608851816613694
19,650,1.3000000000000007,6,10.0,60.222471649860346
63,650,1.2500000000000004,22,9.5,49.18172507819159
37,650,1.0500000000000003,28,18.5,27.89332801035886
40,1000,1.2000000000000006,22,4.0,33.78502840186279
