Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
30,250,0.9999999999999999,52,3,39.69022624806614
40,250,1.4,8,1,43.832896673380816
36,1000,0.7,44,19,24.664253408629445
54,250,1.1999999999999997,20,3,45.49987976570943
68,250,0.9999999999999999,8,16,44.54519998711705
18,1000,1.0999999999999999,16,4,16.3084771635626
4,1000,0.7999999999999999,68,5,26.90398312049928
54,1000,1.2999999999999998,48,8,52.37108801898734
58,250,0.8999999999999999,28,8,54.915951487804236
34,250,1.2999999999999998,16,9,29.75906382914261
38,250,1.4,48,14,50.6540469067369
34,1000,0.8999999999999999,8,12,68.25295506654383
48,250,0.7999999999999999,20,8,45.79616937648345
32,650,0.7999999999999999,24,8,43.04735853377338
38,1000,0.7999999999999999,44,15,48.83570251272588
52,250,1.4,68,16,59.52959651754958
64,650,0.7999999999999999,20,3,49.65952708616873
36,250,1.0999999999999999,52,16,40.618400827282684
32,650,1.0999999999999999,16,14,38.15292399917871
36,250,1.2999999999999998,8,7,44.04978958931638
24,650,0.6,4,8,45.75752028266766
58,250,0.7,44,16,46.6793521104172
30,650,0.7,52,13,52.35310681362891
18,1000,1.0999999999999999,4,9,66.01526701169584
38,250,0.8999999999999999,12,11,41.940981084182354
24,1000,1.1999999999999997,68,1,25.492303327154534
24,1000,0.9999999999999999,12,7,72.87208456615718
44,1000,0.8999999999999999,68,13,59.57472087927292
54,250,1.1999999999999997,48,1,54.38353491400887
60,650,1.4,16,19,51.46202378200736
36,650,1.4,24,14,41.55307691770556
30,1000,0.8999999999999999,20,18,38.44691887927557
8,650,0.7,44,8,21.74085438098801
54,650,1.0999999999999999,44,3,55.055916633354066
18,1000,0.8999999999999999,16,8,23.791928398556816
34,1000,1.2999999999999998,0,11,54.75942491214842
46,250,1.2999999999999998,44,12,54.350536316156735
28,650,0.6,8,0,44.58165742913574
64,650,0.6,8,18,44.17020071320897
48,650,0.7999999999999999,8,18,63.92383311232117
40,1000,1.1999999999999997,48,18,22.485818667668998
12,1000,1.0999999999999999,60,4,14.864638432685886
20,1000,1.1999999999999997,60,16,23.3058980112855
12,250,0.7,8,10,41.24898030011804
66,250,0.8999999999999999,36,14,53.94206344548283
66,250,1.0999999999999999,52,12,57.114660019238
34,650,0.9999999999999999,12,9,62.88936536345132
32,1000,0.6,60,3,48.68828235695985
66,250,1.4,24,12,49.87163094379379
40,650,1.4,48,10,41.06118288246705
54,1000,0.6,28,15,43.77109756100447
8,1000,1.1999999999999997,52,11,12.116410704657383
4,250,0.8999999999999999,48,1,27.69238559859357
68,650,0.6,4,5,44.70574532876755
12,250,0.8999999999999999,24,14,19.02494279933503
64,650,0.7,0,2,61.3319777610883
20,1000,0.7999999999999999,28,16,27.296161637182283
60,250,0.9999999999999999,32,1,51.18629576417441
8,650,1.0999999999999999,56,13,12.960028383896088
6,650,0.8999999999999999,28,18,15.697813656924438
32,250,0.7999999999999999,32,2,41.408229291838396
60,1000,0.7,48,7,47.835520355346155
34,1000,0.9999999999999999,16,2,33.67994807827786
56,650,0.9999999999999999,48,19,48.101408251795206
46,1000,0.7999999999999999,0,16,61.19762119214667
66,650,0.7,16,10,40.027889048513856
32,250,0.8999999999999999,20,13,34.164520870754984
26,250,1.0999999999999999,68,9,48.052289542824845
66,650,0.7,8,18,43.84747369136272
6,1000,0.8999999999999999,24,1,22.96883788285345
40,1000,1.2999999999999998,20,4,33.41571391675826
62,250,1.1999999999999997,0,17,67.86568572145659
60,250,0.7,52,12,50.63419650783585
22,1000,0.6,60,12,34.7111139760856
68,650,1.4,44,18,50.29719044283886
2,250,1.2999999999999998,60,16,13.669495900172372
20,250,1.1999999999999997,44,0,25.971802154615176
28,650,0.7,16,18,28.165467516959865
54,650,1.0999999999999999,56,20,49.699717551704545
68,1000,1.4,36,0,55.86894923216288
36,250,0.6,40,18,27.044385929212087
12,250,0.6,12,3,38.801449538684935
36,650,0.6,0,11,60.28145486057489
30,250,1.4,0,19,68.50993712564244
14,250,1.2999999999999998,60,0,14.07084414293955
54,250,0.8999999999999999,12,18,41.34327889915947
52,1000,0.7999999999999999,64,18,54.87049353371348
16,650,0.7,20,13,19.10402205203227
26,650,1.2999999999999998,32,10,30.908690361357717
18,1000,0.7999999999999999,40,19,30.557989319662607
52,1000,1.0999999999999999,68,11,57.66021454772216
46,1000,0.6,52,14,52.4813586126294
18,1000,0.7,24,17,15.675499677822245
10,650,1.4,20,2,15.01678938035544
24,250,0.6,48,18,20.751712936828966
0,650,0.6,8,15,44.14276145812397
22,1000,1.2999999999999998,40,15,15.390284420962885
56,1000,1.0999999999999999,64,16,56.433927799402255
